created_by_id,latitude,longitude,police_station,created_datetime
FKUSR01333,13.0696085,77.5926117,Kodigehalli,2024-04-08 08:08:46+00:00
FKUSR00973,12.9744453,77.6071205,Cubbon Park,2024-04-08 08:07:46+00:00
FKUSR01703,13.0714799,77.5919102,Kodigehalli,2024-04-08 08:01:46+00:00
FKUSR02157,13.0587555,77.4672263,Chikkabanavara,2024-04-08 07:59:46+00:00
FKUSR00141,12.9795453,77.6071359,Shivajinagar,2024-04-08 07:47:46+00:00
FKUSR00208,12.913674,77.6783176,Bellandur,2024-04-08 07:43:46+00:00
FKUSR01211,12.9164054,77.6733034,Bellandur,2024-04-08 07:35:46+00:00
FKUSR01483,12.9700449,77.4966203,Jnanabharathi,2024-04-08 07:30:46+00:00
FKUSR00028,12.8418767,77.6458483,Electronic City,2024-04-08 07:29:46+00:00
FKUSR01670,12.9723444,77.6070643,Ashok Nagar,2024-04-08 07:19:46+00:00
FKUSR01675,12.9425867,77.5711867,Basavanagudi,2024-04-08 07:12:46+00:00
FKUSR00089,12.9835013,77.6091452,Shivajinagar,2024-04-08 07:09:46+00:00
FKUSR00417,12.9840128,77.6034954,Shivajinagar,2024-04-08 07:07:46+00:00
FKUSR00316,13.0117834,77.5542989,Malleshwaram,2024-04-08 07:06:46+00:00
FKUSR01622,12.9368724,77.6199142,Adugodi,2024-04-08 07:05:46+00:00
FKUSR00466,12.9560537,77.5184881,Byatarayanapura,2024-04-08 07:04:46+00:00
FKUSR01034,12.972285,77.6311906,Halasur,2024-04-08 06:59:46+00:00
FKUSR01874,13.0489079,77.4970126,Chikkabanavara,2024-04-08 06:53:46+00:00
FKUSR00610,12.9198067,77.6682183,Bellandur,2024-04-08 06:39:46+00:00
FKUSR00087,13.001315,77.5254767,Rajajinagar,2024-04-08 06:34:46+00:00
FKUSR00253,13.0687481,77.5929583,Kodigehalli,2024-04-08 06:31:46+00:00
FKUSR02171,12.9789088,77.5920709,Cubbon Park,2024-04-08 06:30:46+00:00
FKUSR00990,13.0123829,77.5542859,Malleshwaram,2024-04-08 06:30:46+00:00
FKUSR00229,12.9830689,77.6107456,Shivajinagar,2024-04-08 06:25:46+00:00
FKUSR00081,12.9447715,77.5948256,Wilson Garden,2024-04-08 06:23:46+00:00
FKUSR00726,12.9893038,77.5065932,Kamakshipalya,2024-04-08 06:22:46+00:00
FKUSR00314,12.9901818,77.5048092,Kamakshipalya,2024-04-08 06:21:46+00:00
FKUSR00217,12.9879724,77.5754349,Sheshadripuram,2024-04-08 06:20:46+00:00
FKUSR01091,12.818395,77.6897917,Electronic City,2024-04-08 06:15:46+00:00
FKUSR00377,12.9850219,77.6079529,Shivajinagar,2024-04-08 06:15:46+00:00
FKUSR00456,12.917265,77.6516774,HSR Layout,2024-04-08 06:14:46+00:00
FKUSR01975,12.9767462,77.588434,Cubbon Park,2024-04-08 06:14:46+00:00
FKUSR00639,12.9715946,77.658123,Jeevanbheemanagar,2024-04-08 06:11:46+00:00
FKUSR00058,13.0110665,77.5545248,Malleshwaram,2024-04-08 06:11:46+00:00
FKUSR00180,12.982972,77.6070431,Shivajinagar,2024-04-08 06:09:46+00:00
FKUSR00186,12.9719328,77.6069016,Ashok Nagar,2024-04-08 06:05:46+00:00
FKUSR01138,12.9399783,77.5239867,Byatarayanapura,2024-04-08 06:04:46+00:00
FKUSR00738,13.030255,77.5369448,Yeshwanthpura,2024-04-08 06:04:46+00:00
FKUSR01873,13.0558006,77.4781012,Chikkabanavara,2024-04-08 06:01:46+00:00
FKUSR00381,12.9877356,77.6181998,Pulikeshinagar(F.Town),2024-04-08 06:01:46+00:00
FKUSR00021,13.07241,77.5887036,Kodigehalli,2024-04-08 05:55:46+00:00
FKUSR00132,12.9645908,77.5549445,Magadi Road,2024-04-08 05:53:46+00:00
FKUSR00360,12.982852,77.6115288,Shivajinagar,2024-04-08 05:51:46+00:00
FKUSR01236,12.9810326,77.6103144,Shivajinagar,2024-04-08 05:48:46+00:00
FKUSR01254,12.9340345,77.6166167,Adugodi,2024-04-08 05:48:46+00:00
FKUSR00113,13.0359272,77.5892868,Hebbala,2024-04-08 05:47:46+00:00
FKUSR00100,13.0435409,77.5533005,Jalahalli,2024-04-08 05:46:46+00:00
FKUSR01124,12.9861286,77.555861,Rajajinagar,2024-04-08 05:44:46+00:00
FKUSR00986,12.9816376,77.6080761,Shivajinagar,2024-04-08 05:43:46+00:00
FKUSR00256,13.0117592,77.5548025,Malleshwaram,2024-04-08 05:42:46+00:00
FKUSR00135,12.9394425,77.583979,Wilson Garden,2024-04-08 05:40:46+00:00
FKUSR00905,12.976995,77.5772967,Upparpet,2024-04-08 05:37:46+00:00
FKUSR00608,12.9480903,77.5800601,Wilson Garden,2024-04-08 05:35:46+00:00
FKUSR00390,12.9809645,77.6102187,Shivajinagar,2024-04-08 05:34:46+00:00
FKUSR00419,12.8759983,77.544135,Thalagattapura,2024-04-08 05:32:46+00:00
FKUSR02166,12.9713978,77.5975805,Cubbon Park,2024-04-08 05:31:46+00:00
FKUSR01579,13.0113798,77.5690359,Malleshwaram,2024-04-08 05:29:46+00:00
FKUSR00597,12.9795554,77.5645996,Magadi Road,2024-04-08 05:25:46+00:00
FKUSR02052,12.970575,77.6473439,Jeevanbheemanagar,2024-04-08 05:23:46+00:00
FKUSR00088,12.912574,77.6251972,Madiwala,2024-04-08 05:19:46+00:00
FKUSR00181,12.9738395,77.5788968,Upparpet,2024-04-08 05:13:46+00:00
FKUSR01087,12.9313161,77.5838955,Jayanagara,2024-04-08 05:12:46+00:00
FKUSR00299,12.9779028,77.5753764,Upparpet,2024-04-08 05:11:46+00:00
FKUSR00287,12.9960492,77.6681486,Mahadevapura,2024-04-08 05:11:46+00:00
FKUSR01603,12.9554912,77.7209096,Whitefield,2024-04-08 05:08:46+00:00
FKUSR01755,12.9282403,77.5972008,Jayanagara,2024-04-08 05:06:46+00:00
FKUSR02142,13.0600433,77.5068117,Chikkabanavara,2024-04-08 05:04:46+00:00
FKUSR00163,13.0070992,77.5485094,Rajajinagar,2024-04-08 05:01:46+00:00
FKUSR00492,12.998585,77.5528569,Malleshwaram,2024-04-08 05:01:46+00:00
FKUSR00454,12.9917878,77.5753438,Sheshadripuram,2024-04-08 04:58:46+00:00
FKUSR00306,12.9826975,77.6119651,Shivajinagar,2024-04-08 04:55:46+00:00
FKUSR00242,12.9536217,77.5429533,Byatarayanapura,2024-04-08 04:55:46+00:00
FKUSR00748,12.965245,77.53714,Vijayanagara,2024-04-08 04:53:46+00:00
FKUSR01531,13.020265,77.7620667,Mahadevapura,2024-04-08 04:50:46+00:00
FKUSR01528,13.09774,77.5991367,Yelahanka,2024-04-08 04:49:46+00:00
FKUSR00551,12.9550488,77.585503,City Market,2024-04-08 04:47:46+00:00
FKUSR01250,12.9796554,77.5537264,Magadi Road,2024-04-08 04:41:46+00:00
FKUSR00803,12.939585,77.5840133,Wilson Garden,2024-04-08 04:32:46+00:00
FKUSR00183,13.0188658,77.53161,Rajajinagar,2024-04-08 04:29:46+00:00
FKUSR00344,13.0085072,77.570604,Malleshwaram,2024-04-08 04:27:46+00:00
FKUSR00696,12.8883106,77.5624705,Thalagattapura,2024-04-08 04:26:46+00:00
FKUSR01879,12.8878355,77.5620341,Thalagattapura,2024-04-08 04:20:46+00:00
FKUSR00592,12.9482078,77.5765179,Basavanagudi,2024-04-08 04:18:46+00:00
FKUSR00670,12.9799821,77.6054082,Shivajinagar,2024-04-08 04:15:46+00:00
FKUSR00727,12.9822492,77.6123982,Shivajinagar,2024-04-08 04:12:46+00:00
FKUSR00378,12.9736933,77.5512833,Magadi Road,2024-04-08 04:09:46+00:00
FKUSR00176,12.938077,77.7467987,Whitefield,2024-04-08 04:07:46+00:00
FKUSR00293,12.998631,77.5502561,Malleshwaram,2024-04-08 04:06:46+00:00
FKUSR00528,13.0123166,77.5524203,Rajajinagar,2024-04-08 04:03:46+00:00
FKUSR01264,12.997619,77.5499249,Vijayanagara,2024-04-08 03:58:46+00:00
FKUSR02146,13.0289688,77.5707048,Sadashivanagar,2024-04-08 03:53:46+00:00
FKUSR02137,12.9612865,77.6360509,Halasur,2024-04-08 03:46:46+00:00
FKUSR01532,12.995672,77.6948922,Mahadevapura,2024-04-08 03:40:46+00:00
FKUSR01073,12.9808744,77.6304977,Halasur,2024-04-08 03:38:46+00:00
FKUSR00533,12.9685401,77.5674297,Chamarajpet,2024-04-08 03:32:46+00:00
FKUSR01253,12.9250812,77.6335446,Adugodi,2024-04-08 03:29:46+00:00
FKUSR02153,13.0199083,77.5623667,Yeshwanthpura,2024-04-08 03:28:46+00:00
FKUSR00175,12.9753532,77.575733,Upparpet,2024-04-08 03:24:46+00:00
FKUSR00101,12.9645782,77.5735549,Chamarajpet,2024-04-08 03:21:46+00:00
FKUSR00266,12.9753839,77.5757387,Upparpet,2024-04-08 03:08:46+00:00
FKUSR00493,12.9983676,77.5529334,Malleshwaram,2024-04-08 03:04:46+00:00
FKUSR01299,12.9716854,77.6581173,Jeevanbheemanagar,2024-04-08 03:02:46+00:00
FKUSR00881,12.9378665,77.5926058,Wilson Garden,2024-04-08 02:54:46+00:00
FKUSR00996,12.9767081,77.5797101,Upparpet,2024-04-08 02:32:46+00:00
FKUSR01126,12.968048,77.5702201,Chamarajpet,2024-04-08 02:27:46+00:00
FKUSR00351,12.8966962,77.7199321,Whitefield,2024-04-08 02:00:46+00:00
FKUSR00764,13.0079859,77.5711386,Malleshwaram,2024-04-08 01:57:46+00:00
FKUSR00642,12.9635399,77.5837118,Halasuru Gate,2024-04-08 01:50:46+00:00
FKUSR00847,12.9671582,77.588387,Halasuru Gate,2024-04-08 01:42:46+00:00
FKUSR00372,12.9799099,77.5539127,Magadi Road,2024-04-08 01:26:46+00:00
FKUSR00160,12.9839427,77.6035681,Shivajinagar,2024-04-08 01:21:46+00:00
FKUSR01298,13.2446283,77.7133031,Devanahalli Airport,2024-04-08 01:16:46+00:00
FKUSR00662,12.9479142,77.5588974,Basavanagudi,2024-04-08 01:15:46+00:00
FKUSR00155,12.9442459,77.5732244,Basavanagudi,2024-04-08 01:15:46+00:00
FKUSR00477,12.9810972,77.6100049,Shivajinagar,2024-04-08 01:11:46+00:00
FKUSR00138,12.9990367,77.5695483,Malleshwaram,2024-04-08 01:06:46+00:00
FKUSR00624,12.9383076,77.5768071,Basavanagudi,2024-04-08 01:05:46+00:00
FKUSR00687,13.0158976,77.5437519,Rajajinagar,2024-04-08 01:03:46+00:00
FKUSR00744,12.9521095,77.5405817,Byatarayanapura,2024-04-08 00:59:46+00:00
FKUSR00776,12.9475513,77.5800283,Basavanagudi,2024-04-08 00:58:46+00:00
FKUSR00603,12.9782186,77.5648542,Magadi Road,2024-04-08 00:58:46+00:00
FKUSR00379,12.9772747,77.5755891,Upparpet,2024-04-08 00:57:46+00:00
FKUSR02148,12.9299121,77.5796687,Jayanagara,2024-04-08 00:56:46+00:00
FKUSR00187,12.9644575,77.5772803,City Market,2024-04-08 00:54:46+00:00
FKUSR01163,12.8706246,77.655518,Electronic City,2024-04-08 00:51:46+00:00
FKUSR00092,12.9368953,77.6017916,Mico Layout,2024-04-08 00:50:46+00:00
FKUSR00677,12.9594331,77.5776592,City Market,2024-04-08 00:50:46+00:00
FKUSR00166,13.0081834,77.5548124,Malleshwaram,2024-04-08 00:49:46+00:00
FKUSR00685,12.9644206,77.6393049,Jeevanbheemanagar,2024-04-08 00:47:46+00:00
FKUSR00546,13.0115817,77.5513983,Malleshwaram,2024-04-08 00:46:46+00:00
FKUSR01403,12.9062054,77.6023603,Mico Layout,2024-04-08 00:44:46+00:00
FKUSR00520,12.9879184,77.5377799,Vijayanagara,2024-04-08 00:44:46+00:00
FKUSR00869,12.9754603,77.5788945,Upparpet,2024-04-08 00:37:46+00:00
FKUSR00676,13.0111799,77.5506469,Malleshwaram,2024-04-08 00:24:46+00:00
FKUSR00432,12.9124179,77.6336706,HSR Layout,2024-04-08 00:15:46+00:00
FKUSR00946,13.008056,77.6954204,K.R. Pura,2024-04-08 00:14:46+00:00
FKUSR01057,12.985805,77.5893564,High ground,2024-04-08 00:14:46+00:00
FKUSR01827,12.9682883,77.650972,Jeevanbheemanagar,2024-04-08 00:11:46+00:00
FKUSR00585,12.9849653,77.5541285,Rajajinagar,2024-04-08 00:09:46+00:00
FKUSR00285,12.8416434,77.6443653,Electronic City,2024-04-08 00:08:46+00:00
FKUSR00164,12.9870519,77.5949117,High ground,2024-04-08 00:06:46+00:00
FKUSR02094,12.9856445,77.4799321,Kamakshipalya,2024-04-08 00:06:46+00:00
FKUSR01616,12.9648106,77.584047,Halasuru Gate,2024-04-08 00:05:46+00:00
FKUSR00318,12.9769533,77.5794614,Upparpet,2024-04-08 00:05:46+00:00
FKUSR01624,12.9061812,77.5806529,J.P. Nagar,2024-04-08 00:00:46+00:00
FKUSR00876,12.9580756,77.7010112,HAL Old Airport,2024-04-07 23:53:46+00:00
FKUSR00111,12.9758817,77.558585,Magadi Road,2024-04-07 23:49:46+00:00
FKUSR01292,13.0604476,77.6520214,Hennuru,2024-04-07 23:42:46+00:00
FKUSR02127,12.9271568,77.5972095,Jayanagara,2024-04-07 23:39:46+00:00
FKUSR01046,12.9903009,77.5047235,Kamakshipalya,2024-04-07 23:38:46+00:00
FKUSR01807,12.9992834,77.5526271,Malleshwaram,2024-04-07 23:37:46+00:00
FKUSR02138,13.2450376,77.7131025,Devanahalli Airport,2024-04-07 23:35:46+00:00
FKUSR02131,12.9720971,77.6182822,Halasur,2024-04-07 23:35:46+00:00
FKUSR00105,13.0065092,77.5485298,Rajajinagar,2024-04-07 23:31:46+00:00
FKUSR01165,12.9748242,77.619187,Halasur,2024-04-07 23:29:46+00:00
FKUSR01137,12.9966891,77.5711178,Malleshwaram,2024-04-07 23:26:46+00:00
FKUSR00391,12.9119662,77.6816623,Bellandur,2024-04-07 23:25:46+00:00
FKUSR02116,12.9370133,77.6198544,Adugodi,2024-04-07 23:23:46+00:00
FKUSR00225,12.955225,77.5856606,Wilson Garden,2024-04-07 23:22:46+00:00
FKUSR00198,12.964103,77.5566534,Magadi Road,2024-04-07 23:15:46+00:00
FKUSR00960,13.0568329,77.5468875,Jalahalli,2024-04-07 23:14:46+00:00
FKUSR00334,12.9993846,77.5494513,Rajajinagar,2024-04-07 23:13:46+00:00
FKUSR00989,12.9746063,77.6066668,Cubbon Park,2024-04-07 23:10:46+00:00
FKUSR01905,12.9433009,77.5679459,Basavanagudi,2024-04-07 23:09:46+00:00
FKUSR00036,12.9994274,77.5496108,Rajajinagar,2024-04-07 23:04:46+00:00
FKUSR00018,12.9770572,77.576846,Upparpet,2024-04-07 23:01:46+00:00
FKUSR00850,12.9975466,77.549129,Vijayanagara,2024-04-07 23:00:46+00:00
FKUSR00752,12.9457578,77.5954726,Wilson Garden,2024-04-07 22:57:46+00:00
FKUSR00171,12.9550669,77.5855435,City Market,2024-04-07 22:56:46+00:00
FKUSR00276,12.9851407,77.6052754,Shivajinagar,2024-04-07 22:53:46+00:00
FKUSR01409,12.9715573,77.6580951,Jeevanbheemanagar,2024-04-07 22:52:46+00:00
FKUSR00026,12.970510042921426,77.71269515542603,HAL Old Airport,2024-04-07 22:49:46+00:00
FKUSR01539,12.9480131,77.5801103,Wilson Garden,2024-04-07 22:43:46+00:00
FKUSR00009,12.9718557,77.5767506,City Market,2024-04-07 22:42:46+00:00
FKUSR00793,12.9864968,77.5562506,Rajajinagar,2024-04-07 22:37:46+00:00
FKUSR02139,13.0582877,77.4690473,Chikkabanavara,2024-04-07 22:24:46+00:00
FKUSR01198,12.88060284070342,77.54616806685084,Thalagattapura,2024-04-07 22:22:46+00:00
FKUSR00328,12.9549512,77.5855265,City Market,2024-04-07 22:16:46+00:00
FKUSR00322,12.9934834,77.5740759,Sheshadripuram,2024-04-07 22:15:46+00:00
FKUSR00591,12.9972342,77.6116483,Pulikeshinagar(F.Town),2024-04-07 22:13:46+00:00
FKUSR00347,13.0278462,77.5861246,R.T. Nagar,2024-04-07 22:12:46+00:00
FKUSR00412,12.9382168,77.5799071,Basavanagudi,2024-04-07 22:05:46+00:00
FKUSR00210,12.9175484,77.5738379,Jayanagara,2024-04-07 22:01:46+00:00
FKUSR01173,12.9391347,77.5836373,Wilson Garden,2024-04-07 22:01:46+00:00
FKUSR00388,12.9564538,77.5766939,City Market,2024-04-07 21:57:46+00:00
FKUSR01826,12.9440081,77.5710797,Basavanagudi,2024-04-07 21:51:46+00:00
FKUSR00575,12.9638707,77.5768212,City Market,2024-04-07 21:44:46+00:00
FKUSR01005,12.9711479,77.7120807,HAL Old Airport,2024-04-07 21:42:46+00:00
FKUSR00470,13.0286964,77.5393873,Yeshwanthpura,2024-04-07 21:41:46+00:00
FKUSR00785,13.2483037,77.7154858,Devanahalli Airport,2024-04-07 21:41:46+00:00
FKUSR01366,12.9175904,77.594911,Jayanagara,2024-04-07 21:40:46+00:00
FKUSR01203,12.9876127,77.5196399,Kamakshipalya,2024-04-07 21:31:46+00:00
FKUSR01002,13.0042962,77.5840394,Sadashivanagar,2024-04-07 21:30:46+00:00
FKUSR01121,13.0091111,77.696444,K.R. Pura,2024-04-07 21:25:46+00:00
FKUSR01502,13.1441763,77.6178472,Chikkajala,2024-04-07 21:24:46+00:00
FKUSR02114,12.8883759,77.5624628,Thalagattapura,2024-04-07 21:21:46+00:00
FKUSR01615,12.9769517,77.5707499,Chamarajpet,2024-04-07 21:12:46+00:00
FKUSR00122,12.8845882,77.6420903,Hulimavu,2024-04-07 21:08:46+00:00
FKUSR00218,12.9643157,77.5767779,City Market,2024-04-07 21:05:46+00:00
FKUSR00763,12.9931088,77.5957998,High ground,2024-04-07 21:05:46+00:00
FKUSR00148,12.9679449,77.5702081,Chamarajpet,2024-04-07 20:54:46+00:00
FKUSR01274,12.9448311,77.5719838,Basavanagudi,2024-04-07 20:53:46+00:00
FKUSR01042,12.9646152,77.576286,City Market,2024-04-07 20:52:46+00:00
FKUSR01960,13.0601683,77.65202,Hennuru,2024-04-07 20:51:46+00:00
FKUSR00261,12.9790252,77.5794266,Upparpet,2024-04-07 20:47:46+00:00
FKUSR00462,12.9163747,77.6390628,HSR Layout,2024-04-07 20:35:46+00:00
FKUSR00174,13.0081703,77.6956132,K.R. Pura,2024-04-07 20:26:46+00:00
FKUSR00143,13.0081503,77.6949949,K.R. Pura,2024-04-07 20:25:46+00:00
FKUSR00368,12.9534892,77.5424514,Byatarayanapura,2024-04-07 20:25:46+00:00
FKUSR00812,12.9777867,77.57412,Upparpet,2024-04-07 20:01:46+00:00
FKUSR00106,13.0195556,77.5530073,Yeshwanthpura,2024-04-07 19:59:46+00:00
FKUSR00615,12.982759,77.6117021,Shivajinagar,2024-04-07 19:57:46+00:00
FKUSR01109,12.964093,77.578948,Halasuru Gate,2024-04-07 19:57:46+00:00
FKUSR00712,13.0094098,77.6930348,K.R. Pura,2024-04-07 19:53:46+00:00
FKUSR01202,13.0081069,77.6952726,K.R. Pura,2024-04-07 19:47:46+00:00
FKUSR02110,13.0975121,77.599326,Yelahanka,2024-04-07 19:46:46+00:00
FKUSR01521,12.9728943,77.6200628,Halasur,2024-04-07 19:39:46+00:00
FKUSR01783,12.9224041,77.6223348,Madiwala,2024-04-07 19:33:46+00:00
FKUSR00932,12.9359043,77.6154298,Adugodi,2024-04-07 19:27:46+00:00
FKUSR00458,12.9790709,77.5921118,Cubbon Park,2024-04-07 19:23:46+00:00
FKUSR00151,12.9639756,77.57673,City Market,2024-04-07 19:01:46+00:00
FKUSR00532,13.0081497,77.6961055,K.R. Pura,2024-04-07 18:57:46+00:00
FKUSR00552,12.9954517,77.614039,Pulikeshinagar(F.Town),2024-04-07 18:07:46+00:00
FKUSR01540,12.9350837,77.6158616,Adugodi,2024-04-07 11:46:46+00:00
FKUSR00644,12.9480434,77.5970845,Wilson Garden,2024-04-07 09:46:46+00:00
FKUSR00649,12.9954306,77.6667465,Mahadevapura,2024-04-07 09:27:46+00:00
FKUSR00006,12.9974032,77.5470052,Vijayanagara,2024-04-07 09:13:46+00:00
FKUSR01668,12.9931054,77.6617055,Banaswadi,2024-04-07 08:55:46+00:00
FKUSR01620,13.0109838,77.5837681,Sadashivanagar,2024-04-07 08:42:46+00:00
FKUSR00761,13.0498983,77.6301533,Hennuru,2024-04-07 08:40:46+00:00
FKUSR00805,13.0105096,77.6976513,K.R. Pura,2024-04-07 08:28:46+00:00
FKUSR01664,12.9311131,77.5800539,Jayanagara,2024-04-07 08:19:46+00:00
FKUSR01679,12.9892416,77.5991846,Shivajinagar,2024-04-07 08:04:46+00:00
FKUSR01629,12.9942407,77.5545648,Rajajinagar,2024-04-07 08:01:46+00:00
FKUSR00236,12.9252775,77.6335229,Adugodi,2024-04-07 08:00:46+00:00
FKUSR01655,12.9563915,77.7322437,Whitefield,2024-04-07 07:59:46+00:00
FKUSR02004,12.9431831,77.7496928,Whitefield,2024-04-07 07:54:46+00:00
FKUSR00310,12.9760287,77.5749331,Upparpet,2024-04-07 07:46:46+00:00
FKUSR00364,13.0354461,77.5890487,Hebbala,2024-04-07 07:45:46+00:00
FKUSR00059,13.0072636,77.7571476,Mahadevapura,2024-04-07 07:42:46+00:00
FKUSR00071,12.9777716,77.5707934,Chamarajpet,2024-04-07 07:39:46+00:00
FKUSR02448,12.9257497,77.5491616,Banashankari,2024-04-07 07:38:46+00:00
FKUSR00468,12.9880966,77.5742486,Sheshadripuram,2024-04-07 07:29:46+00:00
FKUSR00249,13.0008335,77.6133213,Pulikeshinagar(F.Town),2024-04-07 07:26:46+00:00
FKUSR00510,12.963155,77.5674367,Chamarajpet,2024-04-07 07:15:46+00:00
FKUSR00753,12.9362661,77.5169004,Byatarayanapura,2024-04-07 07:06:46+00:00
FKUSR00774,12.9914408,77.5544852,Rajajinagar,2024-04-07 07:06:46+00:00
FKUSR00751,12.9423456,77.5483637,Banashankari,2024-04-07 07:01:46+00:00
FKUSR00128,12.9736206,77.5787539,Upparpet,2024-04-07 06:54:46+00:00
FKUSR00695,12.9676053,77.5746233,City Market,2024-04-07 06:53:46+00:00
FKUSR00729,13.0716254,77.5932408,Hebbala,2024-04-07 06:51:46+00:00
FKUSR01515,12.9167631,77.6104109,Mico Layout,2024-04-07 06:38:46+00:00
FKUSR00069,12.9634691,77.5772655,City Market,2024-04-07 06:36:46+00:00
FKUSR00156,12.9880054,77.7338775,Mahadevapura,2024-04-07 06:26:46+00:00
FKUSR00698,12.994785,77.6983883,Mahadevapura,2024-04-07 06:17:46+00:00
FKUSR00966,13.0997158,77.5886428,Yelahanka,2024-04-07 06:13:46+00:00
FKUSR00363,13.0589422,77.5458588,Jalahalli,2024-04-07 06:10:46+00:00
FKUSR00041,12.9831381,77.6107328,Shivajinagar,2024-04-07 06:09:46+00:00
FKUSR00867,12.9351044,77.6137266,Adugodi,2024-04-07 06:09:46+00:00
FKUSR00650,12.90845,77.5484008,K.S. Layout,2024-04-07 06:01:46+00:00
FKUSR02043,12.8765503,77.5954786,Hulimavu,2024-04-07 05:59:46+00:00
FKUSR01167,12.9593211,77.6569776,Jeevanbheemanagar,2024-04-07 05:54:46+00:00
FKUSR00116,12.9413651,77.5711374,Basavanagudi,2024-04-07 05:54:46+00:00
FKUSR00067,13.0111223,77.5545049,Malleshwaram,2024-04-07 05:52:46+00:00
FKUSR01342,12.9562398,77.7324136,Whitefield,2024-04-07 05:49:46+00:00
FKUSR00716,12.9520372,77.5721953,V.V.Puram (C.Pet),2024-04-07 05:47:46+00:00
FKUSR00705,12.9047509,77.7044862,Bellandur,2024-04-07 05:44:46+00:00
FKUSR00567,12.8995905,77.6753836,Bellandur,2024-04-07 05:40:46+00:00
FKUSR00434,12.9841174,77.6034027,Shivajinagar,2024-04-07 05:38:46+00:00
FKUSR01024,12.9772418,77.5756582,Upparpet,2024-04-07 05:32:46+00:00
FKUSR00237,12.9835716,77.5295565,Kamakshipalya,2024-04-07 05:32:46+00:00
FKUSR01012,13.0012905,77.6123365,Pulikeshinagar(F.Town),2024-04-07 05:31:46+00:00
FKUSR02106,12.8696176,77.6531836,Electronic City,2024-04-07 05:29:46+00:00
FKUSR00115,12.9792176,77.5770979,Upparpet,2024-04-07 05:29:46+00:00
FKUSR02068,13.0101644,77.6972927,K.R. Pura,2024-04-07 05:29:46+00:00
FKUSR00061,12.9051836,77.611462,Mico Layout,2024-04-07 05:28:46+00:00
FKUSR01335,13.0283836,77.5716797,Sadashivanagar,2024-04-07 05:19:46+00:00
FKUSR02140,12.9638021,77.6415196,Jeevanbheemanagar,2024-04-07 05:19:46+00:00
FKUSR00911,13.1840612,77.6797919,Chikkajala,2024-04-07 05:19:46+00:00
FKUSR00207,12.9642451,77.5803839,Halasuru Gate,2024-04-07 05:18:46+00:00
FKUSR01193,13.035296,77.5891455,Hebbala,2024-04-07 05:16:46+00:00
FKUSR00977,12.9906162,77.5716631,Sheshadripuram,2024-04-07 05:15:46+00:00
FKUSR00759,12.9286046,77.5925216,Jayanagara,2024-04-07 05:14:46+00:00
FKUSR00082,13.0016437,77.5712938,Malleshwaram,2024-04-07 05:14:46+00:00
FKUSR00621,12.9425121,77.5676158,Basavanagudi,2024-04-07 05:12:46+00:00
FKUSR00714,12.9993103,77.5497215,Rajajinagar,2024-04-07 05:10:46+00:00
FKUSR00428,13.0001589,77.5495544,Rajajinagar,2024-04-07 05:03:46+00:00
FKUSR00339,13.0586647,77.4664502,Chikkabanavara,2024-04-07 05:02:46+00:00
FKUSR00631,12.9853254,77.5942153,Cubbon Park,2024-04-07 04:58:46+00:00
FKUSR01171,12.9227374,77.6514098,HSR Layout,2024-04-07 04:55:46+00:00
FKUSR00808,13.0003695,77.6762442,Banaswadi,2024-04-07 04:50:46+00:00
